Falla de Llamada,Monto Cobrado,Segundos de Uso,Frecuencia de Uso,sms_al_día,quejas_por_mes,Fuga
20.0,0,650.0,47.0,14.166666666666666,0.0,1
0.0,0,3528.0,82.0,23.142857142857142,0.0,0
12.0,0,1275.0,30.0,22.826086956521742,0.0,0
5.0,0,825.0,19.0,8.25,0.0,0
25.0,0,1200.0,50.0,16.363636363636363,0.030303030303030304,1
20.0,9,10730.0,97.0,13.235294117647058,0.0,0
0.0,0,6725.0,94.0,8.70967741935484,0.0,0
4.0,0,2245.0,33.0,169.86486486486487,0.0,0
6.0,2,3095.0,33.0,146.1627906976744,0.0,0
0.0,0,2840.0,16.0,0.0,0.0,0
0.0,0,2840.0,53.0,0.0,0.0,0
9.0,0,2375.0,55.0,38.33333333333333,0.0,0
28.5,5,14061.875,198.0,59.21052631578947,0.0,0
5.0,0,4065.0,71.0,4.390243902439024,0.0,0
0.0,0,1550.0,39.0,36.36363636363637,0.0,0
3.0,0,13173.0,159.0,0.0,0.0,0
0.0,0,0.0,0.0,0.0,0.03571428571428571,1
0.0,0,1650.0,28.0,169.86486486486487,0.0,0
0.0,0,2100.0,29.0,196.40625,0.0,0
12.0,1,9048.0,177.0,196.875,0.0,0
0.0,0,3895.0,33.0,385.1612903225806,0.0,0
5.0,0,14061.875,178.0,117.6923076923077,0.0,0
5.0,1,1400.0,22.0,21.0,0.0,0
11.0,4,7270.0,122.0,174.58333333333334,0.0,0
5.0,0,1035.0,32.0,55.0,0.0,0
0.0,0,4025.0,31.0,392.90322580645164,0.0,0
12.0,3,4955.0,56.0,369.7058823529412,0.0,0
5.0,0,420.0,12.0,29.25,0.0,1
0.0,0,2760.0,20.0,0.0,0.0,0
0.0,0,4275.0,35.0,405.48387096774195,0.0,0
2.0,1,1070.0,33.0,212.22222222222223,0.037037037037037035,0
13.0,2,7023.0,81.0,88.46153846153847,0.0,0
10.0,2,4083.0,91.0,10.5,0.0,0
0.0,0,490.0,6.0,0.0,0.0,0
3.0,1,1668.0,31.0,5.853658536585366,0.0,0
6.0,1,3943.0,86.0,6.1764705882352935,0.0,0
4.0,0,2048.0,54.0,26.756756756756758,0.0,0
6.0,0,1790.0,42.0,30.0,0.0,0
7.0,0,14061.875,181.0,114.32432432432432,0.0,0
5.0,0,305.0,6.0,5.526315789473684,0.0,0
5.0,0,305.0,6.0,6.0,0.0,0
8.0,1,5918.0,101.0,10.465116279069768,0.0,0
7.0,1,13818.0,165.0,6.1764705882352935,0.0,0
10.0,0,4560.0,72.0,11.052631578947368,0.0,0
5.0,0,2765.0,44.0,169.86486486486487,0.0,0
11.0,1,5638.0,90.0,13.636363636363637,0.030303030303030304,1
9.0,3,7270.0,116.0,202.74193548387098,0.0,0
0.0,0,405.0,8.0,5.0,0.0,0
0.0,0,615.0,4.0,0.0,0.0,0
18.0,2,14061.875,186.0,10.97560975609756,0.0,0
0.0,0,4085.0,28.0,387.09677419354836,0.0,0
0.0,0,1543.0,27.0,3.2432432432432434,0.0,0
1.0,0,4130.0,75.0,0.0,0.0,0
0.0,0,13288.0,155.0,0.0,0.0,0
10.0,3,3480.0,35.0,142.8409090909091,0.0,0
7.0,2,3645.0,73.0,50.35714285714286,0.0,0
14.0,0,2688.0,56.0,56.15384615384615,0.02564102564102564,1
3.0,0,2655.0,55.0,145.13513513513513,0.0,0
15.0,2,7203.0,89.0,90.0,0.0,0
4.0,0,11405.0,151.0,5.142857142857143,0.0,0
2.0,0,1388.0,31.0,24.782608695652176,0.0,0
16.0,0,3485.0,48.0,20.27027027027027,0.02702702702702703,1
9.0,0,2050.0,52.0,40.243902439024396,0.024390243902439025,0
3.0,1,4290.0,79.0,3.75,0.0,0
0.0,0,318.0,4.0,0.0,0.0,0
5.0,0,1710.0,40.0,29.032258064516128,0.0,0
14.0,2,2133.0,55.0,45.882352941176464,0.0,0
3.0,0,4110.0,61.0,0.0,0.0,0
12.0,0,5738.0,96.0,15.0,0.03125,1
0.0,0,765.0,7.0,20.0,0.041666666666666664,1
12.0,0,8888.0,175.0,127.89473684210527,0.0,0
5.0,0,305.0,6.0,6.363636363636364,0.0,1
14.0,2,14061.875,194.0,141.75,0.0,0
0.0,0,825.0,10.0,24.23076923076923,0.0,0
2.0,0,4210.0,77.0,0.0,0.0,0
3.0,2,453.0,9.0,1.5789473684210527,0.0,0
11.0,2,2665.0,51.0,139.66666666666669,0.0,0
12.0,0,1415.0,33.0,33.6,0.0,0
11.0,0,700.0,25.0,11.11111111111111,0.0,0
14.0,3,2502.0,36.0,29.032258064516128,0.06451612903225806,1
4.0,0,1523.0,43.0,38.0,0.0,0
